School_Id,Suburb,State Code,Address,School_Information,Latitude,Longitude,ICSEA_Value,Student_number,,Postcode
8407,Wagga Wagga ,NSW,"Mount Austin High School, Leavenworth Drive, Postcode-2650","Secondary School (Coed, Year 7 to Year 12)",-35.141908,147.353865,807,473,,2650
8408,Peakhurst ,NSW,"Georges River College Peakhurst Campus, Samuel & Rona Sts, Postcode-2210","Secondary School (Coed, Year 7 to Year 10)",-33.966882,151.056013,991,674,,2210
8409,Scone ,NSW,"Scone High School, Gundy Rd, Postcode-2337","Secondary School (Coed, Year 7 to Year 12)",-32.05813,150.873111,935,384,,2337
8410,Woonona ,NSW,"Woonona High School, Nicholson Lane, Postcode-2517","Secondary School (Coed, Year 7 to Year 12)",-34.345037,150.910102,986,599,,2517
8411,West Wallsend ,NSW,"West Wallsend High School, 2 Appletree Rd, Postcode-2286","Secondary School (Coed, Year 7 to Year 12)",-32.910565,151.581083,928,557,,2286
8412,Seven Hills ,NSW,"The Hills Sports High School, Best Rd, Postcode-2147","Secondary School (Coed, Year 7 to Year 12)",-33.782184,150.938834,960,865,,2147
8413,Morisset ,NSW,"Morisset High School, Bridge St, Postcode-2264","Secondary School (Coed, Year 7 to Year 12)",-33.104657,151.486629,929,755,,2264
8414,Taree ,NSW,"Chatham High School, St Vincents & Davis Sts, Postcode-2430","Secondary School (Coed, Year 7 to Year 12)",-31.89577,152.480875,881,638,,2430
8415,Ryde,NSW,"Ryde Secondary College, Malvina St, Postcode-2112","Secondary School (Coed, Year 7 to Year 12)",-33.813316,151.119176,1094,1018,,2112
8416,North Turramurra,NSW,"Ku-ring-gai High School, Bobbin Head Rd, Postcode-2074","Secondary School (Coed, Year 7 to Year 12)",-33.690973,151.153809,1075,591,,2074
8417,Dubbo ,NSW,"Dubbo College South Campus, Boundary Rd, Postcode-2830","Secondary School (Coed, Year 7 to Year 10)",-32.270837,148.610687,910,732,,2830
8418,Barrack Heights ,NSW,"Warilla High School, Keross Ave, Postcode-2528","Secondary School (Coed, Year 7 to Year 12)",-34.563813,150.857991,956,1155,,2528
8420,Blacktown,NSW,"Evans High School, 166 Walters Road, Postcode-2148","Secondary School (Coed, Year 7 to Year 12)",-33.786512,150.889725,939,689,,2148
8422,Killarney Heights ,NSW,"Killarney Heights High School, Starkey St, Postcode-2087","Secondary School (Coed, Year 7 to Year 12)",-33.771925,151.215215,1112,915,,2087
8423,Adamstown ,NSW,"Kotara High School, Lexington Pde, Postcode-2289","Secondary School (Coed, Year 7 to Year 12)",-32.947137,151.706868,1042,1107,,2289
8424,Greystanes ,NSW,"Holroyd High School, 7 Cumberland Rd, Postcode-2145","Secondary School (Coed, Year 7 to Year 12)",-33.832906,150.951137,918,554,,2145
8432,Engadine ,NSW,"Engadine High School, Porter Rd, Postcode-2233","Secondary School (Coed, Year 7 to Year 12)",-34.062141,151.019341,1035,1039,,2233
8433,Woolooware ,NSW,"Woolooware High School, Woolooware Rd North, Postcode-2230","Secondary School (Coed, Year 7 to Year 12)",-34.039811,151.145595,1054,1017,,2230
8435,South Turramurra,NSW,"Turramurra High School, Maxwell St, Postcode-2074","Secondary School (Coed, Year 7 to Year 12)",-33.757307,151.114786,1129,1264,,2074
8436,Guildford,NSW,"Granville South Creative and Performing Arts High School, 53 Rowley Road, Postcode-2161","Secondary School (Coed, Year 7 to Year 12)",-33.860626,150.997598,897,510,,2161
8437,Kirrawee ,NSW,"Kirrawee High School, 21-29 Hunter St, Postcode-2232","Secondary School (Coed, Year 7 to Year 12)",-34.04348,151.073475,1079,1192,,2232
8438,Pennant Hills ,NSW,"Pennant Hills High School, Laurence St, Postcode-2120","Secondary School (Coed, Year 7 to Year 12)",-33.733692,151.061087,1106,1075,,2120
8439,Beresfield ,NSW,"Francis Greenway High School, Lawson Ave, Postcode-2322","Secondary School (Coed, Year 7 to Year 12)",-32.79698,151.66077,918,684,,2322
